company_slug,company,careers_url,ats_platform,email_pattern,email_pattern_status,email_pattern_source,jobs_open_count,top_job_ids,contacts_count,contacts_by_type,referral_coverage,status,last_updated,notes
cohere,Cohere,,,,unknown,,31,cohere_senior_research_engineer_safety_tooling_and_data_2d4d224f;cohere_forward_deployed_engineer_agentic_platform_b0bcef37;cohere_forward_deployed_engineer_agentic_platform_west_coast_1fa01a03;cohere_forward_deployed_engineer_infrastructure_specialis_ash_24cdb030;cohere_senior_full_stack_engineer_north_tools_retrieval_ash_6ebac60b,41,"{""1st"": 3, ""2nd+"": 17, ""NY"": 1, ""NY (ex-SF Bay Area)"": 1, ""UK"": 1}",strong,active,2026-08-23,
cresta,Cresta,,,,unknown,,6,cresta_lead_engineer_ai_agent_voice_experience_gh_5155675008;cresta_solutions_engineer_ai_agent_gh_5397262008;cresta_senior_machine_learning_engineer_gh_4741283008;cresta_senior_forward_deployed_engineer_ai_agent_gh_5205398008;cresta_senior_software_engineer_backend_ai_agent_gh_5133464008,0,{},none,active,2026-08-23,
crowdstrike,CrowdStrike,,,,unknown,,7,crowdstrike_ai_research_scientist_agentic_systems_remote_4425331670;crowdstrike_data_scientist_applied_ai_ml_4451274373;crowdstrike_engineer_i_data_scientist_new_grad_hybrid_4440194830;crowdstrike_sr_data_scientist_hybrid_4424816374;crowdstrike_sr_data_scientist_applied_ai_ml_4451288269,4,"{""2nd"": 4}",weak,active,2026-08-23,
crowe,Crowe,,,,unknown,,1,li_crowe_machine_learning_engineer_4454809440,0,{},none,active,2026-08-23,
databricks,databricks,,,,unknown,,7,databricks_ai_engineer_gtm_analytics_8638847002;databricks_senior_applied_ml_engineer_ml4sys_8656900002;databricks_sr_software_engineer_cxi_8617901002;databricks_senior_software_engineer_ai_runtime_8582276002;databricks_rvp_retail_8582310002,0,{},none,active,2026-08-23,
deepgram,Deepgram,,,,unknown,,6,deepgram_research_engineer_machine_learning_systems_9a030b32;deepgram_embedded_ai_engineer_on_device_models_0b7494b3;deepgram_backend_software_engineer_engine_team_voice_agent_7c7064bb;deepgram_backend_engineer_inference_services_2084edc0;deepgram_applied_ml_engineer_94ae2781,0,{},none,active,2026-08-23,
deepmind,DeepMind,,,,unknown,,5,deepmind_research_engineer_multimodal_reasoning_for_information_literacy_gh_7171371;deepmind_research_scientist_multimodal_alignment_safety_and_fairness_gh_7680885;deepmind_research_engineer_human_understanding_gh_7669433;deepmind_research_engineer_materials_science_gh_7339890;deepmind_research_scientist_gemini_safety_gh_7421111,0,{},none,active,2026-08-23,
deloitte,Deloitte,,,,unknown,,1,li_deloitte_research_engineer_post_training_small_la_4427044959,3,"{""2nd"": 3}",weak,active,2026-08-23,
distyl,Distyl,,,,unknown,,5,li_distyl_applied_ai_researcher_post_training_4315267558;li_distyl_applied_ai_researcher_system_discovery_4315279413;li_distyl_applied_ai_researcher_benchmarking_4315277457;li_distyl_applied_ai_researcher_system_self_constr_4315273495;li_distyl_ai_engineer_4427879619,3,"{""2nd"": 3}",weak,active,2026-08-23,
drata,Drata,,,,unknown,,1,li_drata_applied_ai_engineer_4419447633,0,{},none,active,2026-08-23,
duolingo,Duolingo,,,,unknown,,1,li_duolingo_senior_ai_research_engineer_4446860126,0,{},none,active,2026-08-23,
echostar_corporation,EchoStar Corporation,,,,unknown,,1,li_echostar_corporation_agentic_ai_engineer_ii_4444653399,0,{},none,active,2026-08-23,
elevenlabs,ElevenLabs,,,,unknown,,4,elevenlabs_engineering_internal_ai_transformation_a3097257;elevenlabs_research_engineer_3d650946;elevenlabs_product_marketing_agents_f2ae7fe0;elevenlabs_product_marketing_agents_government_33bb01d0,0,{},none,active,2026-08-23,
ema,Ema,,,,unknown,,1,li_ema_ai_resident_4454664077,0,{},none,active,2026-08-23,
etched,Etched,,,,unknown,,1,etched_design_verification_engineer_internal_ip_77f0497f,0,{},none,active,2026-08-23,
exa_ai,Exa AI,,,,unknown,,2,exa_ai_research_engineer_generalist_913d2b71;exa_ai_software_engineer_intern_a9e01521,0,{},none,active,2026-08-23,
field_ai,Field AI,,,,unknown,,4,field_ai_senior_machine_learning_engineer_470926cb-38a1-4db8-b939-8ae8bde3b139;field_ai_senior_software_engineer_multiagent_simulation_3af7c5ef-cc94-4da9-909d-bc23c84523cf;field_ai_senior_research_engineer_humanoid_manipulation_1ae59c17-eabd-4e36-a2c2-e9ac96ba0f85;field_ai_robotics_research_internship_humanoid_manipulation_fall_2026_phd_internship_2a2c8f00-3a28-481b-882c-33cb0ec4a3a0,0,{},none,active,2026-08-23,
figma,Figma,,,,unknown,,3,figma_ai_applied_scientist_gh_5707966004;figma_data_scientist_core_data_phd_2026_gh_5976930004;figma_software_engineer_intern_winter_2027_gh_6131089004,0,{},none,active,2026-08-23,
finastra,Finastra,,,,unknown,,1,li_finastra_senior_ai_engineer_4445233762,0,{},none,active,2026-08-23,
fireworks_ai,Fireworks AI,,,,unknown,,4,li_fireworks_ai_mts_research_engineer_4456411142;li_fireworks_ai_member_of_technical_staff_evals_post_tra_4456414109;fireworks_ai_applied_machine_learning_engineer_fc3845e6;fireworks_ai_mts_research_engineer_34147044,0,{},none,active,2026-08-23,
fortinet,Fortinet,,,,unknown,,2,fortinet_applied_ai_agent_orcl_23077;fortinet_staff_engineer_ai_agent_orcl_23069,0,{},none,active,2026-08-23,
gamma,Gamma,,,,unknown,,1,li_gamma_ai_engineer_4403252857,0,{},none,active,2026-08-23,
gap_international,Gap International,,,,unknown,,1,li_gap_international_ai_llm_engineer_4434035022,0,{},none,active,2026-08-23,
general_motors,General Motors,,,,unknown,,1,li_general_motors_ai_agent_engineer_4399791760,0,{},none,active,2026-08-23,
genia,Genia,,,,unknown,,1,li_genia_generative_ai_engineer_scientist_us_4456166223,0,{},none,active,2026-08-23,
glean,Glean,,,,unknown,,1,glean_machine_learning_engineer_assistant_quality_gh_4711484005,0,{},none,active,2026-08-23,
goliath_partners,Goliath Partners,,,,unknown,,1,li_goliath_partners_ai_engineer_4457340733,0,{},none,active,2026-08-23,
goodfire,Goodfire,,,,unknown,,3,goodfire_machine_learning_engineer_gh_5019847008;goodfire_forward_deployed_research_scientist_biology_gh_4924131008;goodfire_research_scientist_gh_4746990008,0,{},none,active,2026-08-23,
google,Google,,,,unknown,,3,li_google_senior_research_scientist_google_researc_4456212434;li_google_research_scientist_google_research_4454249590;li_google_senior_research_engineer_4445192971,0,{},none,active,2026-08-23,
google_deepmind,Google DeepMind,,,,unknown,,1,li_google_deepmind_research_engineer_agi_safety_and_alignme_4456002537,0,{},none,active,2026-08-23,
gradial,Gradial,,,,unknown,,1,li_gradial_applied_ai_engineer_4446828683,0,{},none,active,2026-08-23,
greptile,Greptile,,,,unknown,,1,greptile_research_engineer_ce47ec13,0,{},none,active,2026-08-23,
gumloop,Gumloop,,,,unknown,,1,gumloop_design_engineer_intern_dcdc0658,0,{},none,active,2026-08-23,
harrison_clarke,Harrison Clarke,,,,unknown,,2,li_harrison_clarke_ai_agent_builder_4457365575;li_harrison_clarke_ai_engineer_san_francisco_250k_equity_4453127592,0,{},none,active,2026-08-23,
hasbro,Hasbro,,,,unknown,,1,li_hasbro_applied_ai_engineer_4436372606,0,{},none,active,2026-08-23,
hebbia,Hebbia,,,,unknown,,1,li_hebbia_applied_research_engineer_agents_4416680839,0,{},none,active,2026-08-23,
hippocratic_ai,Hippocratic AI,,,,unknown,,1,li_hippocratic_ai_agent_deployment_engineer_residency_prog_4389798215,0,{},none,active,2026-08-23,
hockeystack,HockeyStack,,,,unknown,,1,li_hockeystack_ai_engineer_4387803752,0,{},none,active,2026-08-23,
hug,HUG,,,,unknown,,1,li_hug_machine_learning_researcher_4455299515,0,{},none,active,2026-08-23,
infosys,Infosys,,,,unknown,,1,li_infosys_agentic_ai_engineer_4451703401,0,{},none,active,2026-08-23,
intuit,Intuit,,,,unknown,,1,li_intuit_ai_scientist_2_4438206154,0,{},none,active,2026-08-23,
labelbox,Labelbox,,,,unknown,,2,labelbox_forward_deployed_research_scientist_gh_5101375007;labelbox_cyber_security_intern_gh_5177341007,0,{},none,active,2026-08-23,
