job_id,company,title,location,job_url,canonical_application_url,source,date_discovered,date_posted,date_updated,status,fit_score,fit_tier,role_family,seniority,key_requirements,matching_strengths,main_gaps,resume_variant,networking_priority,application_priority,last_checked,notes,full_description_hash,description_file,is_medical_false_positive,company_slug,source_id,stale_flag,last_verified,merged_from,opportunity_level,recommended_action,priority_v2,score_explanation,score_confidence,missing_info,override_reason,last_scored,ats_score,keyword_match_score,keyword_matched,keyword_missing,ats_issues,last_ats_check,review_flag,application_status,audit_verdict,audit_reasons,audit_date,application_ids,referral_contacts,referral_contact_urls,days_since_checked
cisco_ai_research_scientist_ii_full_time_united_sta_4457502830,Cisco,AI Research Scientist II (Full Time)- United States ENG/CPO/AISWP ETR,"San Francisco, CA",https://www.linkedin.com/jobs/view/4457502830/,https://www.linkedin.com/jobs/view/4457502830/,linkedin,2026-08-22,2026-08-21,2026-08-24,open,0,C,eval_inference,unknown,"agent, agentic, cyber, evaluation, fine-tuning, inference, llm, machine learning, post-training, python, pytorch, research, security",,,applied_research_v2,,high,2026-09-01,L1 security-AI sweep 2026-08-22; years_bar=2; security_domain=True [connections:3 @company: Sonam Verma (Strategic Talent Advisor (Hiri); Aditya Ramesh (ML @ Cisco); Ishaan Sathaye (SWE (MS @ Georgia Tech))],8612ad0868464345,tracking/job_descriptions/active/cisco__ai_research_scientist_ii_full_time_united_states_e__4457502830.md,,cisco,li_4457502830,,,,L2,APPLY,68.9,"fit=12.0 research=7.09(+agentic,evaluation,experimentation,fine-tuning,inference optimization) tech=5.86 agentic=4.68(+agent framework,agentic,multi-agent) pt=1.85(+post-training) attainability=14.5['accepts_transferable'] advantage=4.4['security_ai_company', 'security_domain_relevance', 'existing_connection_or_referral'] company=6.0 strategy=6.0 referral=0.5 loc=3.0 urgency=3.0",medium,visa sponsorship unverified,,2026-09-01,56.7,27.8,agentic ai; data pipelines; docker; inference; machine learning; optimization; python; pytorch; vllm,golang; transformers; onnx; opensearch; elasticsearch; hugging face; ray; distributed systems; model serving; deep learning,,2026-08-23,completed,,useful,,2026-08-26,,,,0
anduril_industries_agentic_ai_engineer_automation_gh_5219383007,Anduril Industries,"Agentic AI Engineer, Automation",,https://boards.greenhouse.io/andurilindustries/jobs/5219383007?gh_jid=5219383007,https://boards.greenhouse.io/andurilindustries/jobs/5219383007?gh_jid=5219383007,greenhouse,2026-09-01,87bf6c41863af928,,open,,,,,,,,,,,2026-09-01,"career-ops scan import 2026-09-01; simhash=Costa Mesa, California, United States",,,,anduril_industries,gh_5219383007,,,,L3/L4 index-only,LOW_PRIORITY,38.4,fit=12.0 research=0.55(+agentic) tech=0.0 agentic=1.56(+agentic) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
elevenlabs_research_engineer_inference_2d7f9a7c,ElevenLabs,Research Engineer - Inference,,https://jobs.ashbyhq.com/elevenlabs/2d7f9a7c-a9e6-4877-bb38-34e4d989054c,https://jobs.ashbyhq.com/elevenlabs/2d7f9a7c-a9e6-4877-bb38-34e4d989054c,ashby,2026-09-01,670658e6ff747220,,open,,,,,,,,,,,2026-09-01,career-ops scan import 2026-09-01; simhash=United Kingdom · United States · Poland · Bulgaria · Remote,,,,elevenlabs,2d7f9a7c,,,,L3/L4 index-only,LOW_PRIORITY,33.0,fit=8.0 research=0.82(+research) tech=0.9 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
sierra_software_engineer_agent_new_grad_2027_149f368c,Sierra,"Software Engineer, Agent (New Grad 2027)",,https://jobs.ashbyhq.com/sierra/149f368c-52d5-408f-ba26-ad888f318a00,https://jobs.ashbyhq.com/sierra/149f368c-52d5-408f-ba26-ad888f318a00,ashby,2026-09-01,4feae4b19c72a640,,open,,,,,,,,,,,2026-09-01,"career-ops scan import 2026-09-01; simhash=San Francisco, CA · New York, NY · New York · United States",,,,sierra,149f368c,,,,L3/L4 index-only,LOW_PRIORITY,30.3,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
sierra_software_engineer_agent_spanish_speaking_1d5cf6f0,Sierra,"Software Engineer, Agent (Spanish speaking)",,https://jobs.ashbyhq.com/sierra/1d5cf6f0-feba-46a6-98bc-70a1627a76d0,https://jobs.ashbyhq.com/sierra/1d5cf6f0-feba-46a6-98bc-70a1627a76d0,ashby,2026-09-01,4deae4b19c72a644,,open,,,,,,,,,,,2026-09-01,"career-ops scan import 2026-09-01; simhash=San Francisco, CA · New York, NY · New York · United States · Toronto · Canada",,,,sierra,1d5cf6f0,,,,L3/L4 index-only,LOW_PRIORITY,30.3,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
sierra_intern_agent_development_summer_2027_34b31b67,Sierra,"Intern, Agent Development (Summer 2027)",,https://jobs.ashbyhq.com/sierra/34b31b67-268c-4270-b48f-72e59064c96e,https://jobs.ashbyhq.com/sierra/34b31b67-268c-4270-b48f-72e59064c96e,ashby,2026-09-01,4decf8b00e33e744,,open,,,,,,,,,,,2026-09-01,"career-ops scan import 2026-09-01; simhash=San Francisco, CA · New York, NY · New York · United States",,,,sierra,34b31b67,,,,L3/L4 index-only,LOW_PRIORITY,30.3,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
sierra_intern_agent_development_winter_2027_02e1c456,Sierra,"Intern, Agent Development (Winter 2027)",,https://jobs.ashbyhq.com/sierra/02e1c456-8489-4a74-9fe7-af8845b040e4,https://jobs.ashbyhq.com/sierra/02e1c456-8489-4a74-9fe7-af8845b040e4,ashby,2026-09-01,4decf8b00e33e744,,open,,,,,,,,,,,2026-09-01,"career-ops scan import 2026-09-01; simhash=San Francisco, CA",,,,sierra,02e1c456,,,,L3/L4 index-only,LOW_PRIORITY,30.3,fit=6.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=5.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
elevenlabs_research_engineer_web_crawlers_a89a7892,ElevenLabs,Research Engineer - Web Crawlers,,https://jobs.ashbyhq.com/elevenlabs/a89a7892-3d9d-40ab-a3f1-1c6ed1f7b84f,https://jobs.ashbyhq.com/elevenlabs/a89a7892-3d9d-40ab-a3f1-1c6ed1f7b84f,ashby,2026-09-01,772988e7f3045121,,open,,,,,,,,,,,2026-09-01,career-ops scan import 2026-09-01; simhash=United Kingdom · United States · Poland · Bulgaria · Remote,,,,elevenlabs,a89a7892,,,,L3/L4 index-only,LOW_PRIORITY,30.1,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
elevenlabs_research_engineer_data_infrastructure_9fbd9227,ElevenLabs,Research Engineer - Data Infrastructure,,https://jobs.ashbyhq.com/elevenlabs/9fbd9227-57e0-4221-9255-1a1d967be8ed,https://jobs.ashbyhq.com/elevenlabs/9fbd9227-57e0-4221-9255-1a1d967be8ed,ashby,2026-09-01,7700e0aff0145124,,open,,,,,,,,,,,2026-09-01,career-ops scan import 2026-09-01; simhash=United Kingdom · United States · Poland · Bulgaria · Remote,,,,elevenlabs,9fbd9227,,,,L3/L4 index-only,LOW_PRIORITY,30.1,fit=6.0 research=0.82(+research) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=4.8 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
openai_strategic_finance_international_marketing_5b85c0cc,OpenAI,"Strategic Finance, International & Marketing",,https://jobs.ashbyhq.com/openai/5b85c0cc-3f19-4b96-9bd3-3b7521e54f44,https://jobs.ashbyhq.com/openai/5b85c0cc-3f19-4b96-9bd3-3b7521e54f44,ashby,2026-09-01,9e257d64ecb3402b,,open,,,,,,,,,,,2026-09-01,career-ops scan import 2026-09-01; simhash=San Francisco,,,,openai,5b85c0cc,,,,L3/L4 index-only,LOW_PRIORITY,25.9,fit=0.0 research=0.0(+) tech=0.0 agentic=0.0(+) pt=0.0(+) attainability=11.5['no_years_bar'] advantage=0.0[] company=7.36 strategy=4.0 referral=0.5 loc=1.5 urgency=1.0,low,visa sponsorship unverified; description_file pointer empty,,2026-09-01,,,,,,,,,,,,,,,0
